route_avg_temp,route_avg_wind_speed,route_avg_precip,route_avg_humidity,route_avg_visibility,route_avg_pressure,origin_avg_temp,origin_avg_wind_speed,origin_avg_precip,origin_avg_humidity,origin_avg_visibility,origin_avg_pressure,dest_avg_temp,dest_avg_wind_speed,dest_avg_precip,dest_avg_humidity,dest_avg_visibility,dest_avg_pressure,truck_age,load_capacity_pounds,mileage_mpg,age,experience,average_speed_mph,avg_no_of_vehicles,distance,average_hours,route_description,origin_description,dest_description,accident,fuel_type,gender,driving_style,ratings,is_midnight,delay
31.0,4.25,0.0,86.0,6.0,1009.5,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,39.0,9.958333333333334,0.0,82.20833333333333,6.0,1022.9166666666666,9,3000.0,23,48,9,57.36,1717.25,310.75,6.22,Clear,Light snow,Overcast,0,diesel,male,proactive,7,0,0
43.25,9.25,0.0,78.5,6.0,1021.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,-2.4166666666666665,2.8333333333333335,0.0,82.58333333333333,6.0,1037.4166666666667,7,15000.0,21,47,12,57.04,1725.5833333333333,1050.84,21.02,Partly cloudy,Light snow,Sunny,1,diesel,male,proactive,8,1,0
24.0,7.0,0.0,63.75,5.5,1019.75,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,28.541666666666668,10.125,0.0,82.25,4.458333333333333,1026.4583333333333,10,3000.0,26,43,6,64.11,1717.25,38.1,0.76,Clear,Light snow,Moderate snow,0,diesel,male,proactive,8,0,0
38.5,4.5,0.0,85.5,6.0,1012.0,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,35.541666666666664,13.583333333333334,0.012500000000000002,75.29166666666667,3.75,1015.4583333333334,12,6000.0,27,49,16,49.47,1725.5833333333333,688.91,13.78,Clear,Light snow,Moderate snow,1,diesel,male,conservative,4,0,0
19.5,4.25,0.0,99.5,2.5,1014.75,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,7.916666666666667,4.875,0.0,80.75,5.0,1029.5,12,3000.0,23,56,22,43.42,1725.5833333333333,728.4,14.57,Fog,Light snow,Clear,1,diesel,male,conservative,9,0,0
35.5,4.5,0.0,84.75,3.5,1014.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,23.0,10.416666666666666,0.0,55.125,6.0,1031.0416666666667,8,6000.0,22,49,17,39.27,1717.25,433.01,8.66,Clear,Light snow,Partly cloudy,0,diesel,male,conservative,7,0,0
42.0,6.25,0.0,90.25,6.0,1011.75,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,40.5,10.25,0.0,78.41666666666667,6.0,1021.3333333333334,7,6000.0,26,47,13,60.76,1717.25,452.19,9.04,Clear,Light snow,Overcast,0,diesel,male,proactive,8,0,0
24.0,5.5,0.0,67.75,6.0,1024.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,48.083333333333336,10.625,0.025000000000000005,72.125,5.75,1011.8333333333334,7,3000.0,23,52,26,44.61,1725.5833333333333,934.7,18.69,Clear,Light snow,Sunny,1,diesel,male,conservative,8,1,0
23.5,10.0,0.0,63.0,4.25,1020.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,23.0,10.083333333333334,0.0,66.70833333333333,6.0,1030.0833333333333,9,20000.0,27,45,7,56.88,1742.25,239.93,4.8,Clear,Light snow,Cloudy,1,diesel,Unknown,proactive,8,0,1
50.0,9.75,0.0,57.75,3.5,1012.25,26.041666666666668,10.5,0.0,80.625,5.25,1027.4166666666667,15.791666666666666,8.291666666666666,0.0,83.16666666666667,5.875,1028.5833333333333,7,15000.0,22,38,9,63.31,1725.5833333333333,207.01,4.14,Clear,Light snow,Clear,1,diesel,male,proactive,2,0,0
